Lipid,Genotype and condition,FA,mean,sd,se
SQDG,CB27COLD,16:00,28.95199187,3.583974891,1.791987446
SQDG,CB27CONT,16:00,27.39781078,1.55341683,0.896865625
SQDG,CB27LTCOLD,16:00,33.73066463,2.556125258,1.043533767
SQDG,125BCOLD,16:02,0,0,0
SQDG,125BCONT,16:02,0.346628408,0.600378015,0.346628408
SQDG,125BLTCOLD,16:02,0,0,0
SQDG,CB27COLD,16:02,0,0,0
SQDG,CB27CONT,16:02,0,0,0
SQDG,CB27LTCOLD,16:02,0,0,0
SQDG,125BCOLD,18:00,3.7864378,0.44064345,0.254405614
SQDG,125BCONT,18:00,6.861560685,1.728536508,0.997971018
SQDG,125BLTCOLD,18:00,3.526718899,0.637608091,0.225428503
SQDG,CB27COLD,18:00,2.897142917,0.935568198,0.467784099
SQDG,CB27CONT,18:00,2.301030291,0.285646115,0.164917861
SQDG,CB27LTCOLD,18:00,3.134415967,0.799698982,0.326475742
SQDG,125BCOLD,18:02,8.611270684,2.311281068,1.334418747
SQDG,125BCONT,18:02,6.45530831,0.395908734,0.228578014
SQDG,125BLTCOLD,18:02,7.432931447,2.565638624,0.907090235
SQDG,CB27COLD,18:02,10.56193591,1.285370927,0.642685464
SQDG,CB27CONT,18:02,8.505388452,0.540773664,0.31221582
SQDG,CB27LTCOLD,18:02,8.524517827,2.507274961,1.023590717
SQDG,125BCOLD,18:03,44.83677598,7.394810248,4.269395687
SQDG,125BCONT,18:03,50.09358601,5.806598644,3.35244129
SQDG,125BLTCOLD,18:03,50.40562466,4.182873262,1.478869024
SQDG,CB27COLD,18:03,55.38717614,3.688693872,1.844346936
SQDG,CB27CONT,18:03,60.25349608,2.808547494,1.621515652
SQDG,CB27LTCOLD,18:03,52.65041891,3.687559436,1.505439836
SQDG,125BCOLD,16:1 d3 & d11,0,0,0
SQDG,125BCONT,16:1 d3 & d11,0.930863995,0.048528094,0.028017708
SQDG,125BLTCOLD,16:1 d3 & d11,0.753382907,1.14549984,0.404995352
SQDG,CB27COLD,16:1 d3 & d11,0.073668338,0.147336676,0.073668338
SQDG,CB27CONT,16:1 d3 & d11,0.213360358,0.36955098,0.213360358
SQDG,CB27LTCOLD,16:1 d3 & d11,0,0,0
SQDG,125BCOLD,16:1 d7 (& d9),0,0,0
SQDG,125BCONT,16:1 d7 (& d9),0.639994328,0.564763869,0.326066572
SQDG,125BLTCOLD,16:1 d7 (& d9),0,0,0
SQDG,CB27COLD,16:1 d7 (& d9),0.26558771,0.314331877,0.157165938
SQDG,CB27CONT,16:1 d7 (& d9),0.132421,0.229359901,0.132421
SQDG,CB27LTCOLD,16:1 d7 (& d9),0,0,0
SQDG,125BCOLD,18:1 d9,2.164857149,0.098152105,0.056668144
SQDG,125BCONT,18:1 d9,1.960580929,0.713617007,0.412006971
SQDG,125BLTCOLD,18:1 d9,1.460182976,0.434850002,0.153742692
SQDG,CB27COLD,18:1 d9,1.862497117,0.31124422,0.15562211
SQDG,CB27CONT,18:1 d9,1.196493035,0.095832093,0.055328685
SQDG,CB27LTCOLD,18:1 d9,1.959982666,0.430702947,0.175833742
TOTAL,125BCOLD,16:00,14.68316896,0.409148343,0.236221906
TOTAL,125BCONT,16:00,18.80321536,5.459967722,3.152313834
TOTAL,125BLTCOLD,16:00,14.14624023,4.110752793,1.453370588
TOTAL,CB27COLD,16:00,17.29072277,2.969577613,1.484788807
TOTAL,CB27CONT,16:00,16.03347995,1.993715396,1.15107212
TOTAL,CB27LTCOLD,16:00,11.86376152,0.8541868,0.348720301
TOTAL,125BCOLD,16:02,0.085723004,0.006635981,0.003831286
TOTAL,125BCONT,16:02,0.047766367,0.052407744,0.030257625
TOTAL,125BLTCOLD,16:02,0.049174636,0.091106603,0.032211048
TOTAL,CB27COLD,16:02,0.084857827,0.036834275,0.018417137
TOTAL,CB27CONT,16:02,0.063021711,0.016461902,0.009504284
TOTAL,CB27LTCOLD,16:02,0.022992751,0.056320507,0.022992751
TOTAL,125BCOLD,16:03,0.073452547,0.026149209,0.015097253
TOTAL,125BCONT,16:03,0.103260203,0.083392906,0.048146917
TOTAL,125BLTCOLD,16:03,0.105782929,0.144930362,0.051240621
TOTAL,CB27COLD,16:03,0.104701082,0.038206493,0.019103247
TOTAL,CB27CONT,16:03,0.093159957,0.012060294,0.006963014
TOTAL,CB27LTCOLD,16:03,0.047251633,0.040835704,0.016671107
TOTAL,125BCOLD,18:00,3.817086157,0.294738956,0.170167615
TOTAL,125BCONT,18:00,3.937386018,1.226365706,0.70804257
TOTAL,125BLTCOLD,18:00,2.426362173,0.976211308,0.345142818
TOTAL,CB27COLD,18:00,4.341194438,1.374941507,0.687470753
TOTAL,CB27CONT,18:00,3.237551931,0.26419187,0.152531247
TOTAL,CB27LTCOLD,18:00,1.909377428,0.436150873,0.178057848
TOTAL,125BCOLD,18:02,11.71303454,0.564561575,0.325949777
TOTAL,125BCONT,18:02,10.31094364,0.18376926,0.106099231
TOTAL,125BLTCOLD,18:02,11.85375397,0.922450268,0.32613542
TOTAL,CB27COLD,18:02,11.86648975,1.648295834,0.824147917
TOTAL,CB27CONT,18:02,9.991038889,0.543791122,0.313957951
TOTAL,CB27LTCOLD,18:02,11.93025167,0.436535429,0.178214843
TOTAL,125BCOLD,18:03,64.48939077,0.525932123,0.303647053
TOTAL,125BCONT,18:03,60.62362207,7.639949965,4.410927169
TOTAL,125BLTCOLD,18:03,65.82780693,5.894734953,2.084103529
TOTAL,CB27COLD,18:03,60.68478587,5.206740969,2.603370485
TOTAL,CB27CONT,18:03,63.81346633,2.681004592,1.547878723
TOTAL,CB27LTCOLD,18:03,68.35234113,1.071991412,0.437638661
TOTAL,125BCOLD,16:1 d3 & d11,2.669362924,0.056872228,0.032835196
TOTAL,125BCONT,16:1 d3 & d11,3.623639848,1.067451661,0.616293504
TOTAL,125BLTCOLD,16:1 d3 & d11,3.530528806,0.296392424,0.104790546
TOTAL,CB27COLD,16:1 d3 & d11,3.202609647,0.200362958,0.100181479
TOTAL,CB27CONT,16:1 d3 & d11,3.756387292,0.22123657,0.127730994
TOTAL,CB27LTCOLD,16:1 d3 & d11,3.3714586,0.123983902,0.050616216
TOTAL,125BCOLD,16:1 d7 (& d9),1.456631277,0.340181151,0.196403679
TOTAL,125BCONT,16:1 d7 (& d9),1.428044545,0.519788122,0.300099812
TOTAL,125BLTCOLD,16:1 d7 (& d9),0.810555181,0.513826083,0.181664954
TOTAL,CB27COLD,16:1 d7 (& d9),1.5776509,0.215899934,0.107949967
TOTAL,CB27CONT,16:1 d7 (& d9),2.050510933,0.059441086,0.034318327
TOTAL,CB27LTCOLD,16:1 d7 (& d9),1.112291895,0.115637596,0.047208851
TOTAL,125BCOLD,18:1 d9,1.012149827,0.079030179,0.045628095
TOTAL,125BCONT,18:1 d9,1.122121942,0.283616357,0.16374598
TOTAL,125BLTCOLD,18:1 d9,1.249795148,0.314101814,0.111051761
TOTAL,CB27COLD,18:1 d9,0.84698772,0.423308238,0.211654119
TOTAL,CB27CONT,18:1 d9,0.961383003,0.111713166,0.064497626
TOTAL,CB27LTCOLD,18:1 d9,1.390273367,0.092810545,0.037889746
